x1,x2,y1,y2,type,color,width
212;200;240;230;1;java.awt.Color[r=0,g=0,b=0];1
200;189;230;219;1;java.awt.Color[r=0,g=0,b=0];1
189;178;219;204;1;java.awt.Color[r=0,g=0,b=0];1
178;169;204;189;1;java.awt.Color[r=0,g=0,b=0];1
169;166;189;178;1;java.awt.Color[r=0,g=0,b=0];1
166;165;178;165;1;java.awt.Color[r=0,g=0,b=0];1
165;165;165;155;1;java.awt.Color[r=0,g=0,b=0];1
165;165;155;146;1;java.awt.Color[r=0,g=0,b=0];1
165;169;146;141;1;java.awt.Color[r=0,g=0,b=0];1
169;180;141;135;1;java.awt.Color[r=0,g=0,b=0];1
180;196;135;134;1;java.awt.Color[r=0,g=0,b=0];1
196;220;134;134;1;java.awt.Color[r=0,g=0,b=0];1
220;256;134;140;1;java.awt.Color[r=0,g=0,b=0];1
256;278;140;150;1;java.awt.Color[r=0,g=0,b=0];1
278;301;150;167;1;java.awt.Color[r=0,g=0,b=0];1
301;312;167;178;1;java.awt.Color[r=0,g=0,b=0];1
312;319;178;192;1;java.awt.Color[r=0,g=0,b=0];1
319;320;192;198;1;java.awt.Color[r=0,g=0,b=0];1
320;321;198;207;1;java.awt.Color[r=0,g=0,b=0];1
321;312;207;216;1;java.awt.Color[r=0,g=0,b=0];1
312;299;216;222;1;java.awt.Color[r=0,g=0,b=0];1
299;277;222;226;1;java.awt.Color[r=0,g=0,b=0];1
277;248;226;227;1;java.awt.Color[r=0,g=0,b=0];1
248;207;227;224;1;java.awt.Color[r=0,g=0,b=0];1
207;175;224;212;1;java.awt.Color[r=0,g=0,b=0];1
175;156;212;196;1;java.awt.Color[r=0,g=0,b=0];1
156;138;196;176;1;java.awt.Color[r=0,g=0,b=0];1
138;130;176;161;1;java.awt.Color[r=0,g=0,b=0];1
130;122;161;140;1;java.awt.Color[r=0,g=0,b=0];1
122;118;140;121;1;java.awt.Color[r=0,g=0,b=0];1
118;117;121;109;1;java.awt.Color[r=0,g=0,b=0];1
117;117;109;99;1;java.awt.Color[r=0,g=0,b=0];1
117;118;99;93;1;java.awt.Color[r=0,g=0,b=0];1
118;124;93;91;1;java.awt.Color[r=0,g=0,b=0];1
124;131;91;90;1;java.awt.Color[r=0,g=0,b=0];1
131;144;90;90;1;java.awt.Color[r=0,g=0,b=0];1
144;160;90;90;1;java.awt.Color[r=0,g=0,b=0];1
160;185;90;99;1;java.awt.Color[r=0,g=0,b=0];1
69;102;39;91;2;java.awt.Color[r=0,g=0,b=0];1
244;333;103;80;2;java.awt.Color[r=0,g=0,b=0];1
166;218;48;102;4;java.awt.Color[r=0,g=102,b=255];10
304;275;176;155;4;java.awt.Color[r=0,g=102,b=255];10
139;180;92;112;4;java.awt.Color[r=0,g=102,b=255];10
98;187;78;128;3;java.awt.Color[r=0,g=102,b=255];10
